hex_id,lat,lon,restaurant_accessibility,grocery_store_accessibility,school_accessibility,hospital_accessibility,marta_stop_accessibility,police_station_accessibility,park_accessibility,crime_incident_accessibility,police_station_norm,grocery_store_norm,hospital_norm,marta_stop_norm,school_norm,restaurant_norm,park_norm,user_match_score,suitability,suitability_label
8844c1a9ddfffff,33.76753839327005,-84.35365672499611,2.2607242143371917,1.4745297570425793,18.192207473987096,5.433213220065481,479.1564834175466,13.846032928426578,37.72244748457952,-825.2052621633585,0.6615124401655634,0.627412126100841,0.7305631073083719,0.640786153169395,0.8189867120196522,0.6407480555408808,0.7568832944859876,0.7009998172624606,0,Most Suitable
8844c1326bfffff,33.81830132924866,-84.35555393360904,1.7173725303774174,1.5110178422936398,12.93891676832041,5.185817310804535,324.6663971052362,9.765572290708574,29.19165159384324,-636.7048434009566,0.42737018307446034,0.6433559685589036,0.6843140711747595,0.39974347054197273,0.38636910834209737,0.48674805290271683,0.5829113675444951,0.5247600749028337,1,Okay
8844c13247fffff,33.81910534568188,-84.36494880680608,2.0080287669808534,1.4556551609379316,12.639874413148734,5.043687883690245,300.80527906705584,10.339721150126435,32.961065535615965,-961.1228247288528,0.4603156080609789,0.6191646780727668,0.657743910698399,0.3625142344161964,0.36174245157762186,0.5691275918369179,0.6597825311838035,0.5398667520982441,1,Okay
8844c1a867fffff,33.72356187954487,-84.34666905734441,0.6040505618734633,0.6810138807840751,17.83091486840223,3.7740146570490523,410.1705957830093,12.704705333967844,15.320589404434362,-218.2486363865601,0.596021545197299,0.2806772390278237,0.4203868617794069,0.5331511338889523,0.7892336391341285,0.17120364373249006,0.30003325760902677,0.4344818082191771,3,
8844c1ab47fffff,33.665184017799966,-84.34048832024146,0.0027782862293825733,0.05733015443870497,11.951384082696315,2.386850762048393,118.97324326494162,3.4143612087142023,3.791849241116748,-16.515269400327945,0.06292924612381182,0.008152248799157324,0.1610657060869765,0.07881135908254089,0.3050440783857097,0.0007874385950852523,0.06492305603942457,0.09881653131868241,9,
8844c1a8b9fffff,33.80032699910481,-84.399031379775,1.8592646549317617,1.5685755199229838,14.01499061287004,5.224890629852438,376.71398527856644,11.437594829304668,35.29832685788966,-776.3895430090307,0.523313059590732,0.6685063851417399,0.6916185708728549,0.48095056011680143,0.4749856563482818,0.5269639723537393,0.7074472345959819,0.5897400244556509,1,Okay
8844c1a9abfffff,33.78630856887461,-84.31959456238351,0.8870010492720684,0.8724048655719949,16.185072519825184,6.24509278362148,354.52000727476803,11.518627020236224,18.108160364374555,-20.621409325184228,0.5279627944531082,0.36430748951523073,0.8823386454860779,0.4463224741087785,0.6536956663156074,0.2513991728754178,0.35688130527050765,0.5014994324569753,2,Less Suitable
8844c1aa97fffff,33.76112684407115,-84.44839819431719,0.4780178735068245,0.2135651461998383,16.151278056481644,3.210543168941751,515.8740039217182,12.550505167867092,26.99714439223032,-452.6114451082587,0.5871733346298655,0.07642072816541345,0.31504957753899676,0.6980745517522084,0.6509126336284042,0.1354827010835037,0.5381579059165871,0.4080360241290577,3,
8844c1aa21fffff,33.69036578597637,-84.38151251988317,0.2056252881404832,0.10370314559090582,16.530338711892853,2.9570534629978806,380.10875017456436,12.203266639867127,17.721641634061193,-265.692364635187,0.5672483261777872,0.028415402103929115,0.26766134624317883,0.4862472316182112,0.6821289362433628,0.05827955604247646,0.34899887446652894,0.3378240087825183,5,
8844c1a801fffff,33.73275765804216,-84.36973623397995,0.907067848870557,0.4128838251197483,20.174082675895,4.252636524144092,578.2234308962284,15.652625266922538,26.67018952462969,-600.0915454257351,0.7651771107345953,0.1635150657767806,0.5098620681065551,0.7953550536728091,0.9821975733018012,0.25708662592348,0.531490184748724,0.5549240239120524,1,Okay
8844c1ab17fffff,33.70237055142907,-84.35256070008778,0.32619582407130443,0.16765302430131931,16.769967843225125,3.2754700597821254,329.33043666489795,11.32819032455649,12.381541884148511,-140.9256312352579,0.5170352836355157,0.056358956399955376,0.3271872322378556,0.40702052393858096,0.7018628109471702,0.09245238259215166,0.24009608796791684,0.32900046396151633,5,
8844c1a91dfffff,33.73554875644894,-84.3177159348197,0.46122925306208423,0.5943280780543868,16.731021458799475,3.8590590583871247,405.32016517440934,10.054411934879845,12.827195515323771,-154.36193710353416,0.44394418592073553,0.2427989899346441,0.4362853525919502,0.5255832644307685,0.698655508620658,0.13072436929010753,0.24918448041770283,0.3791360798447973,4,
8844c1069bfffff,33.79148547932311,-84.29572652468762,0.5064132282441567,1.327312271506746,15.001574593815624,5.23379557218303,318.95945500618365,5.5204806733711305,7.021609514026295,-0.9671499423777657,0.18378118146659772,0.5630839384114852,0.6932832912024901,0.39083923166172435,0.5562325588284626,0.14353068332696076,0.13078884692621823,0.3794030947681657,4,
8844c1324dfffff,33.804716728762116,-84.36574723483758,2.3987138901214493,1.9092456764846042,14.259301171876663,5.518739188801199,371.66648014259823,11.500269917367833,40.760324680171536,-575.4062212593423,0.5269094394814837,0.8173656982300892,0.7465516239747826,0.4730752057326379,0.49510505474299815,0.6798579194874665,0.8188359371582465,0.6647943501448286,0,Most Suitable
8844c1a907fffff,33.73394188317059,-84.29895316058759,0.19740695837758993,0.33466392659447397,15.404395156956774,3.6278726434857504,425.3153796875185,6.161542644618903,9.017673897684372,-56.3859088305457,0.22056616978281107,0.1293360802095297,0.39306657468929607,0.5567807364563022,0.5894055310666421,0.055950267586161374,0.1714953849294744,0.28280159638339475,6,
8844c1ab05fffff,33.678781233318276,-84.330308171534,0.054658058635715843,0.057398499537221565,12.592322495977085,2.6452302926342384,164.19284596938172,4.2619630958134715,2.8931094237446215,-3.589654726421249,0.11156576944317159,0.008182112889751052,0.20936805790010327,0.14936510530279873,0.35782646869952195,0.015491515757813155,0.04659469607748215,0.12672479591065272,9,
8844c1a185fffff,33.74309131466851,-84.49188303292266,0.05752823707374029,0.20549075921418383,13.326356569882924,2.1856891605443187,371.6487306651352,4.585665552869064,16.64021676818601,-347.55344624251785,0.13014024684906544,0.07289254209703203,0.12345986933547143,0.4730475121649465,0.4182754481798069,0.01630499899542191,0.3269449453644329,0.20377566260056984,8,
8844c1a84bfffff,33.71236074798938,-84.38501310184681,0.5030871568403211,0.19972680044287866,19.1628557806345,3.4846542430504313,533.0771631930321,13.935727296482515,23.611576828285774,-501.5457978138621,0.6666592222692433,0.07037392129377168,0.3662928378214615,0.7249157281629817,0.8989212840741766,0.1425879881626934,0.4691146747299584,0.4579088911435071,3,
8844c13243fffff,33.81990873421522,-84.37434484454239,2.02789761593856,1.5566997549394128,12.554703231842566,4.974556079919117,285.1421589433014,10.37670675172457,34.503663677297844,-729.8748832437007,0.4624378910596216,0.6633171480342233,0.6448201752164986,0.33807589935492277,0.35472845703143874,0.5747589405236565,0.6912413510456393,0.547744909629006,1,Okay
8844c1aac9fffff,33.71032574344089,-84.44645549552718,0.1273274157028929,0.14136130542469377,15.295397678586415,2.8318277762156594,414.9399709349959,12.027335961030051,17.87104593870442,-330.6518487541601,0.557153189894958,0.04487052063150396,0.24425122871072358,0.54059253681993,0.5804293996203819,0.03608790205867433,0.3520457361081679,0.32078988391298074,5,
8844c1a88bfffff,33.786733248247025,-84.40922250116684,2.080640097098704,1.0866811684833486,15.126352293423913,4.6844236567144915,502.7624146167193,13.124470683194478,31.584805281104103,-1060.3023265544405,0.6201082390886841,0.4579377140832746,0.5905818292211733,0.6776172348134573,0.5665082188711682,0.5897075317907571,0.6317159062736448,0.583902777959297,1,Okay
