type,name,lat,lon,amenity,cuisine,leisure,osm_id
restaurant,Rathbun's Steak,33.7592068,-84.3638966,restaurant,steak_house,,2210728554
restaurant,Two Urban Licks,33.7684989,-84.3612992,restaurant,american,,2216914846
restaurant,Real Chow Baby,33.7740945,-84.3617849,restaurant,chinese,,2217172630
restaurant,Romeo's NY,33.7886149,-84.3265555,restaurant,pizza,,2219275915
restaurant,Dave's Cosmic Subs,33.7879172,-84.3276069,restaurant,sandwich,,2219282265
restaurant,Falafel King,33.7884331,-84.3263646,restaurant,kebab,,2219282266
restaurant,Emmy's Squared Pizza,33.7403577,-84.3583541,restaurant,,,2262805491
restaurant,Little Azios,33.7339183,-84.3494935,restaurant,pizza,,2262813906
restaurant,Bell Street Burritos,33.7558251,-84.3651117,restaurant,,,2268953667
restaurant,Jason's Deli,33.7819402,-84.379972,restaurant,sandwich,,2277881897
restaurant,Flying Biscuit,33.7819212,-84.3802778,restaurant,american;breakfast,,2277881898
restaurant,Unknown,33.7816725,-84.3801261,restaurant,,,2277885175
restaurant,Souper Jenny Westside,33.78878,-84.422915,restaurant,regional,,2280263719
restaurant,Thaicoon,33.8044492,-84.3356162,restaurant,sushi,,2283444595
restaurant,Cafe Bombay Indian Bistro,33.8284382,-84.3269925,restaurant,indian,,2283463185
restaurant,Red Pepper Taqueria,33.8163506,-84.3343277,restaurant,mexican,,2284798528
restaurant,Serpas,33.7574066,-84.367366,restaurant,american,,2288044083
restaurant,Carrol Street Cafe,33.7489743,-84.3679405,restaurant,american,,2288049569
restaurant,Bantam and Biddy,33.798267,-84.370892,restaurant,,,2351693149
restaurant,Silver Skillet,33.7861987,-84.3942995,restaurant,american,,2390850327
restaurant,Toast on Lenox,33.7863234,-84.3985922,restaurant,,,2390853392
restaurant,Rocky Mountain Pizza,33.7821239,-84.4043525,restaurant,pizza,,2390865214
restaurant,Gia's,33.7849048,-84.4058271,restaurant,italian,,2390865217
restaurant,Unknown,33.782589,-84.4118303,restaurant,pizza,,2390865219
restaurant,Antico Pizza Napoletana,33.7846556,-84.4056305,restaurant,pizza,,2390865222
restaurant,Shake Shack,33.78541,-84.4121409,restaurant,burger,,2390865225
restaurant,Die Biergarten,33.7618961,-84.3966372,restaurant,german,,2391516145
restaurant,Stats,33.7612848,-84.3962607,restaurant,american,,2391516146
restaurant,Fresh2Order,33.800944,-84.328139,restaurant,american,,2412454888
restaurant,General Muir,33.801164,-84.327131,restaurant,deli,,2412456094
restaurant,Unknown,33.6829799,-84.3087891,restaurant,sandwich,,2427461612
restaurant,Unknown,33.6885372,-84.3085369,restaurant,regional,,2427470552
restaurant,Tin Drum,33.7766984,-84.3900493,restaurant,asian,,2466973843
restaurant,White Oak Kitchen & Cocktails,33.7621298,-84.3878635,restaurant,american,,2475185760
restaurant,Talkin' Tacos,33.826407,-84.365495,restaurant,burger,,2537249094
restaurant,Cat Cora's Kitchen,33.6421898,-84.4390798,restaurant,,,2545076507
restaurant,Great Wraps,33.6409375,-84.4395335,restaurant,,,2545080163
restaurant,Max's Coal Oven Pizza,33.7615575,-84.3964558,restaurant,,,2661488990
restaurant,Pacific Rim Bistro,33.7624344,-84.3858457,restaurant,asian,,2661648997
restaurant,Big Kahuna Grill,33.7627199,-84.385835,restaurant,mexican;american,,2661648998
restaurant,The Sun Dial Restaurant & View,33.7594309,-84.3885801,restaurant,american,,2661649031
restaurant,Anatolia Mediterranean Cafe,33.755184,-84.389284,restaurant,mediterranean,,2698565984
restaurant,Downtown Gourmet,33.7566615,-84.3880778,restaurant,mediterranean;greek;indian;pizza,,2698565985
restaurant,Bistro Niko,33.8465635,-84.3685683,restaurant,french,,2744416357
restaurant,JCT,33.7865629,-84.4123326,restaurant,,,2748860795
restaurant,Olive Bistro Meze & Wine Bar,33.7835135,-84.3824732,restaurant,mediterranean,,2749706026
restaurant,Anh’s Kitchen,33.7779671,-84.3841208,restaurant,vietnamese,,2749706285
restaurant,Circle Poké,33.7820519,-84.4078179,restaurant,asian,,2749714074
restaurant,Lucky Buddha,33.7818632,-84.4047769,restaurant,chinese,,2749714135
restaurant,Pizza Hut,33.7818534,-84.4053703,restaurant,pizza,,2749714155
restaurant,Rush Bowls,33.7778235,-84.3841353,restaurant,yogurt;fruit;smoothie,,2750966533
restaurant,Kale Me Crazy,33.7628754,-84.3584245,restaurant,juice,,2753814694
restaurant,Pure Taqueria,33.7630055,-84.3582786,restaurant,mexican,,2753814702
restaurant,Smokey Stallion BBQ Bistro,33.7521838,-84.3980857,restaurant,barbecue,,2755107977
restaurant,Downtown Wings,33.7531414,-84.3920342,restaurant,american,,2755107992
restaurant,Slice,33.756905,-84.3901232,restaurant,pizza,,2755108027
restaurant,Banshee,33.7400282,-84.3459555,restaurant,,,2760845523
restaurant,Fresh To Order,33.778257,-84.384561,restaurant,american,,2820914301
restaurant,Mellow Mushroom,33.8613197,-84.340062,restaurant,pizza,,2922817401
restaurant,TGI Friday's,33.6406637,-84.4354705,restaurant,american,,2924093236
restaurant,Mustard Seed,33.6416672,-84.4292331,restaurant,,,2924606877
restaurant,IHOP,33.6406424,-84.4448818,restaurant,breakfast;pancake,,2924610304
restaurant,TGI Friday's,33.6409911,-84.4450378,restaurant,american,,2924610305
restaurant,Cibo e Beve,33.8899341,-84.3808943,restaurant,,,2928753841
restaurant,Mezza Luna Pasta & Seafood,33.8828094,-84.5048493,restaurant,italian,,2959951633
restaurant,US Cafe Express,33.8824623,-84.4872325,restaurant,burger,,2966322031
restaurant,Dakota Blue,33.7420813,-84.3733069,restaurant,,,2969376076
restaurant,LongHorn Steakhouse,33.8810434,-84.4603126,restaurant,steak_house,,2970517280
restaurant,Philly Connection,33.8799126,-84.4612333,restaurant,sandwich,,2977871033
restaurant,Mint Leaf Indian Cuisine,33.882531,-84.4867081,restaurant,indian,,2980398979
restaurant,Jamaica-MikrazY,33.8835623,-84.4803222,restaurant,jamaican,,2980443809
restaurant,Taco Cantina,33.8835469,-84.4806621,restaurant,mexican,,2980443810
restaurant,PaPa Roy's Louisiana Kitchen,33.8835303,-84.4803857,restaurant,,,2980443812
restaurant,Minato Japanese Restaurant,33.8844349,-84.4753501,restaurant,japanese,,2980463270
restaurant,The Flying Biscuit Cafe,33.8506368,-84.4291538,restaurant,,,2981923784
restaurant,Hawaiian BBQ,33.81661,-84.33569,restaurant,hawaiian,,2993285934
restaurant,Maddio's,33.8142941,-84.3098393,restaurant,pizza,,2993302433
restaurant,Iron Age Korean Steakhouse,33.814238,-84.311935,restaurant,,,2993302633
restaurant,Chris's,33.815927,-84.312411,restaurant,mediterranean,,2993304733
restaurant,Mediteranean Grill,33.790614,-84.305018,restaurant,mediterranean,,2993307633
restaurant,The Optimist,33.7798543,-84.4106489,restaurant,seafood,,3021100658
restaurant,Bastone,33.7795053,-84.4099081,restaurant,,,3021106034
restaurant,Avellino's,33.8810192,-84.3426608,restaurant,italian,,3062574176
restaurant,Bhojanic,33.846034,-84.365571,restaurant,indian,,3113493729
restaurant,Dantanna's,33.847597,-84.365175,restaurant,steak_house,,3113548130
restaurant,The Cheesecake Factory,33.848239,-84.362789,restaurant,american,,3113556129
restaurant,Folk Art,33.766636,-84.352974,restaurant,american,,3125018229
restaurant,Le Petit Marche,33.7514788,-84.3225589,restaurant,breakfast;lunch,,3129823424
restaurant,Dos Madres Cantina,33.7754507,-84.3011559,restaurant,mexican,,3129894048
restaurant,Arden's Garden,33.7509481,-84.3218588,restaurant,juice;smoothie,,3129949339
